CrashID,CrashDeathCount,CrashMonth,Latitude,Longitude,PersonAge,PersonAlcoholResult,PersonBloodAlcoholContentTestResult,PersonType
17393810,0,11,29.59169311,-98.5911399,17,NoData,NoData,2-PASSENGER/OCCUPANT
17394138,0,11,29.5884772,-98.61917912,NoData,NoData,NoData,1-DRIVER
17394138,0,11,29.5884772,-98.61917912,38,NoData,NoData,1-DRIVER
17394142,0,11,29.59377928,-98.57674243,19,NoData,NoData,1-DRIVER
17394142,0,11,29.59377928,-98.57674243,49,NoData,NoData,1-DRIVER
17394156,0,11,29.52708514,-98.68715275,29,NoData,NoData,1-DRIVER
17394156,0,11,29.52708514,-98.68715275,59,NoData,NoData,1-DRIVER
17394172,0,11,29.5999817,-98.56296308,26,NoData,NoData,1-DRIVER
17394172,0,11,29.5999817,-98.56296308,22,NoData,NoData,2-PASSENGER/OCCUPANT
17394172,0,11,29.5999817,-98.56296308,47,NoData,NoData,1-DRIVER
17394318,0,11,29.59896512,-98.56519747,18,NoData,NoData,1-DRIVER
17394318,0,11,29.59896512,-98.56519747,63,NoData,NoData,1-DRIVER
17394318,0,11,29.59896512,-98.56519747,59,NoData,NoData,2-PASSENGER/OCCUPANT
17396668,0,11,29.51015835,-98.69697311,23,1-POSITIVE,0.11,1-DRIVER
17396668,0,11,29.51015835,-98.69697311,23,NoData,NoData,1-DRIVER
17394959,0,11,29.57117453,-98.65059334,28,NoData,NoData,1-DRIVER
17394959,0,11,29.57117453,-98.65059334,36,NoData,NoData,1-DRIVER
17394959,0,11,29.57117453,-98.65059334,30,NoData,NoData,2-PASSENGER/OCCUPANT
17395662,0,11,29.58876856,-98.6166636,23,NoData,NoData,1-DRIVER
17395662,0,11,29.58876856,-98.6166636,47,NoData,NoData,1-DRIVER
17395662,0,11,29.58876856,-98.6166636,53,NoData,NoData,2-PASSENGER/OCCUPANT
17395662,0,11,29.58876856,-98.6166636,24,NoData,NoData,1-DRIVER
17395662,0,11,29.58876856,-98.6166636,22,NoData,NoData,2-PASSENGER/OCCUPANT
17399319,0,11,29.60913277,-98.46839905,19,NoData,NoData,1-DRIVER
17399319,0,11,29.60913277,-98.46839905,40,NoData,NoData,1-DRIVER
17399319,0,11,29.60913277,-98.46839905,55,NoData,NoData,2-PASSENGER/OCCUPANT
17399341,0,11,29.60250457,-98.44292431,23,NoData,NoData,1-DRIVER
17399341,0,11,29.60250457,-98.44292431,37,NoData,NoData,1-DRIVER
17399602,0,11,29.60283313,-98.36539607,27,NoData,NoData,1-DRIVER
17405784,0,11,29.55422,-98.66661057,45,NoData,NoData,1-DRIVER
17405784,0,11,29.55422,-98.66661057,NoData,NoData,NoData,1-DRIVER
17396830,0,11,29.60386855,-98.53246539,27,NoData,NoData,1-DRIVER
17396830,0,11,29.60386855,-98.53246539,20,NoData,NoData,1-DRIVER
17396830,0,11,29.60386855,-98.53246539,43,NoData,NoData,1-DRIVER
17399597,0,11,29.58757294,-98.62739045,65,NoData,NoData,1-DRIVER
17399598,0,11,29.59377928,-98.57674243,26,NoData,NoData,1-DRIVER
17399598,0,11,29.59377928,-98.57674243,20,NoData,NoData,1-DRIVER
17399598,0,11,29.59377928,-98.57674243,29,NoData,NoData,1-DRIVER
17399599,0,11,29.59386572,-98.57649545,22,NoData,NoData,1-DRIVER
17399600,0,11,29.58803181,-98.62322365,39,NoData,NoData,1-DRIVER
17399606,0,11,29.59958649,-98.56380463,48,NoData,NoData,1-DRIVER
17399606,0,11,29.59958649,-98.56380463,39,NoData,NoData,1-DRIVER
17399606,0,11,29.59958649,-98.56380463,36,NoData,NoData,1-DRIVER
17399606,0,11,29.59958649,-98.56380463,23,NoData,NoData,1-DRIVER
17399606,0,11,29.59958649,-98.56380463,NoData,NoData,NoData,1-DRIVER
17399606,0,11,29.59958649,-98.56380463,36,NoData,NoData,1-DRIVER
17399607,0,11,29.60920022,-98.46870652,50,NoData,NoData,1-DRIVER
17399607,0,11,29.60920022,-98.46870652,37,NoData,NoData,1-DRIVER
17399608,0,11,29.60324946,-98.44596159,20,NoData,NoData,1-DRIVER
17399609,0,11,29.60982451,-98.4714527,24,NoData,NoData,1-DRIVER
17399610,0,11,29.60240697,-98.38764585,29,NoData,NoData,1-DRIVER
17399612,0,11,29.6023685,-98.38953645,NoData,NoData,NoData,1-DRIVER
17399612,0,11,29.6023685,-98.38953645,79,NoData,NoData,1-DRIVER
17399707,0,11,29.60178408,-98.40456036,30,NoData,NoData,1-DRIVER
17399711,0,11,29.60236208,-98.38985164,34,NoData,NoData,1-DRIVER
17399715,0,11,29.60884824,-98.49261492,NoData,NoData,NoData,1-DRIVER
17399724,0,11,29.60231641,-98.39209612,34,NoData,NoData,1-DRIVER
17399724,0,11,29.60231641,-98.39209612,20,NoData,NoData,1-DRIVER
17399724,0,11,29.60231641,-98.39209612,56,NoData,NoData,1-DRIVER
17399724,0,11,29.60231641,-98.39209612,NoData,NoData,NoData,1-DRIVER
17399730,0,11,29.6088464,-98.49264226,22,NoData,NoData,1-DRIVER
17399732,0,11,29.60867983,-98.49522063,43,NoData,NoData,1-DRIVER
17399907,0,11,29.56688629,-98.65358514,28,NoData,NoData,1-DRIVER
17399907,0,11,29.56688629,-98.65358514,4,NoData,NoData,2-PASSENGER/OCCUPANT
17399907,0,11,29.56688629,-98.65358514,19,NoData,NoData,1-DRIVER
17399932,0,11,29.5699576,-98.65147298,38,NoData,NoData,1-DRIVER
17399932,0,11,29.5699576,-98.65147298,25,NoData,NoData,1-DRIVER
17399940,0,11,29.59358641,-98.57733386,56,NoData,NoData,1-DRIVER
17399940,0,11,29.59358641,-98.57733386,NoData,NoData,NoData,1-DRIVER
17400226,0,11,29.59221594,-98.58693589,47,NoData,NoData,1-DRIVER
17400226,0,11,29.59221594,-98.58693589,NoData,NoData,NoData,1-DRIVER
17405692,0,11,29.60133621,-98.43788518,41,NoData,NoData,1-DRIVER
17406244,0,11,29.60879485,-98.46687391,54,NoData,NoData,1-DRIVER
17406250,0,11,29.60865011,-98.50545212,21,NoData,NoData,1-DRIVER
17406250,0,11,29.60865011,-98.50545212,21,NoData,NoData,2-PASSENGER/OCCUPANT
17410425,0,11,29.60915953,-98.46852255,32,NoData,NoData,1-DRIVER
17410425,0,11,29.60915953,-98.46852255,26,NoData,NoData,1-DRIVER
17410425,0,11,29.60915953,-98.46852255,30,NoData,NoData,1-DRIVER
17411231,0,11,29.60917309,-98.46858387,31,NoData,NoData,1-DRIVER
17411241,0,11,29.60909189,-98.46821678,29,NoData,NoData,1-DRIVER
17421075,0,11,29.59674238,-98.56995716,50,NoData,NoData,1-DRIVER
17421075,0,11,29.59674238,-98.56995716,27,NoData,NoData,1-DRIVER
17421076,0,11,29.58710401,-98.6316485,23,NoData,NoData,1-DRIVER
17422361,0,11,29.52942064,-98.68505873,44,NoData,NoData,1-DRIVER
17422361,0,11,29.52942064,-98.68505873,34,NoData,NoData,1-DRIVER
